id;titulo;nombre;stock;disponible;precio;descripcion
1;however wholly studious;pfft flaky;30012;true;7215.99;of bedeck
2;absent;afterwards;7750;false;16534.43;urgently unfortunately
3;disguised;over hm;25530;true;767.24;curl bin
4;though rosy;briefly whether anti;29903;true;5756.01;searchingly wolf
5;selection though;playfully;4346;false;12184.58;earnest whoa hm
6;brave hm;supposing align excepting;952;true;6208.01;bah
7;boo within per;fully;24599;true;21621.26;incompatible vermicelli lest
8;versus;oof informal;27061;true;9740.76;galley toward
9;but quaintly;colorfully;28147;true;24210.31;hourly anenst hello
10;apropos unlike;than;12226;true;30891.71;underbid boo yowza
